Date,Open,High,Low,Close,Volume,Adj Close
1994-12-01,453.55,461.70,442.88,459.61,348629300,459.61
1994-11-01,472.26,472.26,444.18,453.69,311899500,453.69
1994-10-03,462.69,474.74,449.27,472.35,316548500,472.35
1994-09-01,475.49,475.49,458.47,462.71,306893800,462.71
1994-08-01,458.28,477.59,456.08,475.49,293626000,475.49
1994-07-01,444.27,459.33,443.58,458.26,262483000,458.26
1994-06-01,456.50,463.23,439.83,444.27,279367200,444.27
1994-05-02,450.91,457.77,440.78,456.50,280603300,456.50
1994-04-04,445.66,452.79,435.86,450.91,317314700,450.91
1994-03-01,467.19,471.09,436.16,445.77,331677800,445.77
1994-02-01,481.60,482.23,464.26,467.14,322199400,467.14
1994-01-03,466.51,482.85,464.36,481.61,330964700,481.61
1993-12-01,461.93,471.29,461.45,466.45,270900000,466.45
1993-11-01,467.83,469.11,454.36,461.79,293489000,461.79
1993-10-01,458.93,471.10,456.40,467.83,295763300,467.83
1993-09-01,463.55,463.80,449.64,458.93,277795200,458.93
1993-08-02,448.13,463.56,446.94,463.56,261774000,463.56
1993-07-01,450.54,451.15,441.40,448.13,264902300,448.13
1993-06-01,450.23,455.63,442.50,450.53,264796300,450.53
1993-05-03,440.19,454.55,436.86,450.19,265823000,450.19
1993-04-01,451.67,452.63,432.30,440.19,290506100,440.19
1993-03-01,443.38,456.76,441.07,451.67,262875600,451.67
1993-02-01,438.78,450.04,428.25,443.38,298768900,443.38
1993-01-04,435.70,442.66,426.88,438.78,276402500,438.78
1992-12-01,431.35,442.65,428.61,435.71,229184500,435.71
1992-11-02,418.66,431.93,415.58,431.35,218946000,431.35
1992-10-01,417.80,421.16,396.80,418.68,214042700,418.68
1992-09-01,414.03,425.27,412.71,417.80,200396100,417.80
1992-08-03,424.19,425.14,408.30,414.03,181680900,414.03
1992-07-01,408.20,424.80,407.20,424.21,201733600,424.21
1992-06-01,415.35,417.30,399.92,408.14,202516300,408.14
1992-05-01,414.95,418.75,409.85,415.35,192399500,415.35
1992-04-01,403.67,416.28,392.41,414.95,216163300,414.95
1992-03-02,412.68,413.78,401.94,403.69,193118100,403.69
1992-02-03,408.79,418.08,406.34,412.70,235259400,412.70
1992-01-02,417.03,421.18,408.64,408.78,249268100,408.78
1991-12-02,375.11,418.32,371.36,417.09,209637600,417.09
1991-11-01,392.46,398.22,371.63,375.22,190722500,375.22
1991-10-01,387.86,393.81,376.11,392.45,185306900,392.45
1991-09-03,395.43,397.62,382.77,387.86,170388500,387.86
1991-08-01,387.81,396.82,374.09,395.43,175330000,395.43
1991-07-01,371.18,387.81,370.92,387.81,165836300,387.81
1991-06-03,389.81,389.81,367.98,371.16,171125000,371.16
1991-05-01,375.35,389.85,365.83,389.83,180533600,389.83
1991-04-01,375.22,391.26,370.27,375.34,191974000,375.34
1991-03-01,367.07,379.66,363.73,375.22,203933500,375.22
1991-02-01,343.91,370.96,340.37,367.07,238220000,367.07
1991-01-02,330.20,343.93,309.35,343.93,175670900,343.93
1990-12-03,322.23,333.98,321.97,330.22,161548000,330.22
1990-11-01,303.99,323.02,301.61,322.22,159148500,322.22
1990-10-01,306.10,319.69,294.51,304.00,166433000,304.00
1990-09-04,322.56,326.53,295.98,306.05,152015200,306.05
1990-08-01,356.15,357.35,306.18,322.56,179009100,322.56
1990-07-02,358.02,369.78,350.09,356.15,168996100,356.15
1990-06-01,361.26,368.78,351.23,358.02,160561400,358.02
1990-05-01,330.80,362.26,330.80,361.23,171016800,361.23
1990-04-02,339.94,347.30,327.76,330.80,146198500,330.80
1990-03-01,331.89,344.49,331.08,339.94,155573600,339.94
1990-02-01,329.08,336.09,322.10,331.89,165598400,331.89
1990-01-02,353.40,360.59,319.83,329.08,181041300,329.08
1989-12-01,346.01,354.10,339.63,353.40,167968000,353.40
1989-11-01,340.36,346.50,330.91,345.99,151683800,345.99
1989-10-02,349.15,360.44,327.12,340.36,190398600,340.36
1989-09-01,351.45,354.13,341.37,349.15,159516000,349.15
1989-08-01,346.08,352.73,339.00,351.45,177996500,351.45
1989-07-03,317.98,346.08,317.26,346.08,170784000,346.08
1989-06-01,320.51,329.19,314.38,317.98,188049000,317.98
1989-05-01,309.64,323.06,304.06,320.52,177720400,320.52
1989-04-03,294.87,310.45,294.35,309.64,169782000,309.64
1989-03-01,288.86,299.99,286.46,294.87,167067700,294.87
1989-02-01,297.47,300.57,286.26,288.86,177037300,288.86
1989-01-03,277.72,297.51,273.81,297.47,177441400,297.47
1988-12-01,273.68,280.45,270.47,277.72,141529000,277.72
1988-11-01,278.97,280.37,262.85,273.70,141934700,273.70
1988-10-03,271.89,283.95,268.84,278.97,169458000,278.97
1988-09-01,261.52,274.87,256.98,271.91,154057100,271.91
1988-08-01,272.03,274.20,256.53,261.52,150345600,261.52
1988-07-01,273.50,276.36,262.48,272.02,176540500,272.02
1988-06-01,262.16,276.88,262.10,273.50,206096300,273.50
1988-05-02,261.36,263.70,248.85,262.16,165665700,262.16
1988-04-04,258.89,272.05,254.71,261.33,169819000,261.33
1988-03-01,267.82,272.64,256.07,258.89,182297300,258.89
1988-02-01,257.05,267.82,247.82,267.82,196464500,267.82
1988-01-04,247.10,261.78,240.17,257.07,185329000,257.07
1987-12-01,230.32,253.35,221.24,247.08,186222200,247.08
1987-11-02,251.73,257.21,225.75,230.30,192922000,230.30
1987-10-01,321.83,328.94,216.46,251.79,290813600,251.79
1987-09-01,329.81,332.18,308.56,321.83,186014200,321.83
1987-08-03,318.62,337.89,314.51,329.80,201342800,329.80
1987-07-01,303.99,318.85,302.53,318.66,188559000,318.66
1987-06-01,290.12,310.27,286.93,304.00,170931800,304.00
1987-05-01,286.99,298.69,277.01,290.10,178560000,290.10
1987-04-01,291.59,303.65,275.67,288.36,195942800,288.36
1987-03-02,284.17,302.72,282.30,291.70,188040900,291.70
1987-02-02,274.08,287.55,273.16,284.20,190952600,284.20
1987-01-02,242.17,280.96,242.17,274.08,200203800,274.08
1986-12-01,249.22,254.87,241.28,242.17,154548600,242.17
1986-11-03,243.97,249.22,235.51,249.22,159703100,249.22
1986-10-01,231.32,244.51,231.32,243.98,137562600,243.98
1986-09-02,252.93,254.13,228.08,231.32,156723800,231.32
1986-08-01,236.12,254.24,231.92,252.93,134628500,252.93
1986-07-01,250.67,253.20,233.07,236.12,142845400,236.12
1986-06-02,246.04,251.81,238.23,250.84,132604700,250.84
1986-05-01,235.52,249.19,232.26,247.35,134830400,247.35
1986-04-01,238.90,245.47,226.30,235.52,153995400,235.52
1986-03-03,226.92,240.11,222.18,238.90,167450000,238.90
1986-02-03,211.78,227.92,210.82,226.92,162673600,226.92
1986-01-02,211.28,214.57,202.60,211.78,137386800,211.78
1985-12-02,202.17,213.08,200.10,211.28,138908500,211.28
1985-11-01,189.82,203.40,189.37,202.17,126471500,202.17
1985-10-01,182.06,190.15,181.16,189.82,115858200,189.82
1985-09-03,188.63,188.80,179.45,182.08,103355700,182.08
1985-08-01,190.92,192.17,186.10,188.63,91128100,188.63
1985-07-01,191.85,196.07,189.30,190.92,117603100,190.92
1985-06-03,189.55,191.85,185.03,191.85,111110000,191.85
1985-05-01,179.83,189.98,178.35,189.55,112929000,189.55
1985-04-01,180.66,183.61,177.86,179.83,99699000,179.83
1985-03-01,181.18,183.89,176.53,180.66,107356600,180.66
1985-02-01,179.63,183.95,177.75,181.18,120806300,181.18
1985-01-02,167.20,180.27,163.36,179.63,127555000,179.63
1984-12-03,163.58,169.03,161.54,167.24,93063000,167.24
1984-11-01,166.09,170.41,162.99,163.58,87374200,163.58
1984-10-01,166.10,169.62,160.02,166.09,95744300,166.09
1984-09-04,166.68,169.65,163.06,166.10,97242600,166.10
1984-08-01,150.66,168.80,150.66,166.68,112364300,166.68
1984-07-02,153.16,153.87,147.26,150.66,83290900,150.66
1984-06-01,150.55,155.64,148.53,153.18,90649500,153.18
1984-05-01,160.05,162.11,148.68,150.55,91883600,150.55
1984-04-02,159.18,160.69,154.12,160.05,89513500,160.05
1984-03-01,157.06,160.46,153.77,159.18,87568600,159.18
1984-02-01,163.41,164.00,152.13,157.06,101281000,157.06
1984-01-03,164.93,169.54,162.03,163.41,110912800,163.41
1983-12-01,166.37,166.77,161.58,164.93,91461900,164.93
1983-11-01,163.55,168.07,161.63,166.40,92130400,166.40
1983-10-03,165.99,172.65,162.86,163.55,89241900,163.55
1983-09-01,164.40,170.41,163.95,166.07,86222300,166.07
1983-08-01,162.34,165.91,158.50,164.40,77705600,164.40
1983-07-01,168.11,170.72,161.50,162.56,84270500,162.56
1983-06-01,162.38,171.60,160.80,167.64,93189500,167.64
1983-05-02,164.41,166.99,160.29,162.39,96525700,162.39
1983-04-04,152.92,164.43,150.17,164.43,94631000,164.43
1983-03-01,148.07,155.02,148.07,152.96,87064700,152.96
1983-02-01,145.29,150.88,141.90,148.06,89431500,148.06
1983-01-03,140.65,148.36,138.08,145.30,91654200,145.30
1982-12-01,138.56,143.68,134.79,140.64,78372200,140.64
1982-11-01,133.72,144.36,132.89,138.53,92881400,138.53
1982-10-01,120.40,140.40,120.15,133.72,102066100,133.72
1982-09-01,119.52,126.43,117.84,120.42,76697600,120.42
1982-08-02,107.71,120.26,102.20,119.51,79960400,119.51
1982-07-01,109.52,112.39,105.57,107.09,56402800,107.09
1982-06-01,111.97,112.48,107.01,109.61,53445900,109.61
1982-05-03,115.96,119.92,111.66,111.88,53518000,111.88
1982-04-01,111.96,119.33,111.48,116.44,56413800,116.44
1982-03-01,113.11,114.80,104.46,111.96,57043000,111.96
1982-02-01,119.81,119.81,110.03,113.11,53475200,113.11
1982-01-04,122.55,123.72,113.63,120.40,52087000,120.40
1981-12-01,126.35,127.32,121.04,122.55,45465900,122.55
1981-11-02,122.35,126.97,119.13,126.35,51775000,126.35
1981-10-01,116.18,123.28,115.00,121.89,48051300,121.89
1981-09-01,122.79,124.58,110.19,116.18,47611400,116.18
1981-08-03,130.92,135.18,122.29,122.79,45757600,122.79
1981-07-01,131.21,131.78,125.96,130.92,45338600,130.92
1981-06-01,132.59,135.67,128.77,131.21,51932700,131.21
1981-05-01,132.81,134.92,128.78,132.59,47850500,132.59
1981-04-01,136.00,137.72,131.58,132.81,55782800,132.81
1981-03-02,131.27,138.38,128.56,136.00,55705000,136.00
1981-02-02,129.48,132.02,124.66,131.27,45764200,131.27
1981-01-02,135.76,140.32,128.57,129.55,47460900,129.55
1980-12-01,140.52,140.66,125.32,135.76,48493600,135.76
1980-11-03,127.47,141.96,127.23,140.52,56797200,140.52
1980-10-01,125.46,135.88,124.66,127.47,46604300,127.47
1980-09-02,122.38,132.17,121.79,125.46,52285700,125.46
1980-08-01,121.67,127.78,119.42,122.38,47579500,122.38
1980-07-01,114.24,123.93,113.54,121.67,48926300,121.67
1980-06-02,111.24,117.98,109.77,114.24,40931900,114.24
1980-05-01,106.29,112.72,103.50,111.24,38082800,111.24
1980-04-01,102.09,106.79,98.95,106.29,33570900,106.29
1980-03-03,113.66,114.34,94.23,102.09,43442300,102.09
1980-02-01,114.16,120.22,111.33,113.66,49767000,113.66
1980-01-02,107.94,117.17,103.26,114.16,55642700,114.16
1979-12-03,106.16,110.33,105.07,107.94,37087000,107.94
1979-11-01,101.82,107.89,99.42,106.16,32577600,106.16
1979-10-01,109.19,112.16,99.06,101.82,38509100,101.82
1979-09-04,109.32,111.58,105.38,109.32,39467800,109.32
1979-08-01,103.81,109.84,103.14,109.32,37018200,109.32
1979-07-02,102.91,105.17,100.35,103.81,34052300,103.81
1979-06-01,99.08,103.67,98.57,102.91,36685700,102.91
