Date,Open,High,Low,Close,Volume,Adj Close
2012-11-01,26.58,28.25,26.52,27.55,189600,27.55
2012-10-01,27.41,30.39,25.72,26.58,253500,26.58
2012-09-03,28.32,30.34,27.21,27.25,261700,27.25
2012-08-01,28.80,29.70,27.54,28.29,123700,28.27
2012-07-02,25.29,29.51,24.59,28.44,156500,28.41
2012-06-01,25.41,26.86,24.30,25.41,160400,25.37
2012-05-01,26.99,27.04,24.45,25.92,187900,25.86
2012-04-02,30.48,30.93,26.05,26.99,290000,26.93
2012-03-01,31.47,33.21,30.23,30.30,188000,30.22
2012-02-01,30.30,32.13,29.78,31.70,216400,31.60
2012-01-02,27.63,31.30,27.63,30.49,267100,30.39
2011-12-01,27.90,29.10,27.01,27.01,154300,26.91
2011-11-01,27.50,29.00,24.97,27.50,249900,27.39
2011-10-03,25.30,29.41,24.20,28.06,152100,27.93
2011-09-01,26.21,27.11,24.06,25.50,199900,25.39
2011-08-01,27.89,27.95,21.51,25.48,285900,25.37
2011-07-01,30.70,31.04,26.71,27.49,236700,27.37
2011-06-01,30.01,31.19,29.60,30.80,235900,30.66
2011-05-02,31.24,31.58,28.90,30.31,315800,30.17
2011-04-01,32.10,32.63,30.64,31.50,286000,31.35
2011-03-01,30.06,32.14,28.40,32.09,247300,31.92
2011-02-01,28.71,31.44,27.76,30.21,314700,30.04
2011-01-03,31.00,31.90,28.78,29.00,440400,28.82
2010-12-01,31.09,31.44,29.48,31.00,232500,30.80
2010-11-01,31.71,33.20,30.17,31.00,228800,30.79
2010-10-01,30.85,32.90,30.82,31.75,151900,31.52
2010-09-01,29.07,30.85,28.86,30.85,287400,30.62
2010-08-02,30.30,30.40,27.53,29.30,149000,29.07
2010-07-01,25.97,30.50,25.71,30.30,305900,30.05
2010-06-01,26.99,28.05,25.71,25.80,110500,25.57
2010-05-03,29.60,29.66,24.66,27.49,182500,27.23
2010-04-01,30.24,31.10,28.55,29.70,84400,29.41
2010-03-01,29.00,30.24,28.70,30.18,125800,29.88
2010-02-01,29.07,30.01,27.10,28.90,110200,28.60
2010-01-01,30.00,31.10,27.90,29.10,103000,28.78
2009-12-01,30.03,31.45,29.24,30.20,110200,29.71
2009-11-02,26.99,30.15,26.98,29.92,100100,29.42
2009-10-01,28.40,29.40,26.50,26.99,81400,26.53
2009-09-01,26.18,29.30,25.16,28.65,86900,28.15
2009-08-03,24.56,27.27,24.09,26.40,93200,25.93
2009-07-01,23.11,24.81,21.73,24.59,63400,21.94
2009-06-01,23.60,24.19,21.91,23.00,32900,20.51
2009-05-01,22.35,23.91,20.73,23.51,43300,20.96
2009-04-01,19.59,22.45,19.55,22.35,59500,19.92
2009-03-02,17.09,20.72,16.00,19.58,200100,17.44
2009-02-02,17.27,19.59,16.86,17.27,32000,15.37
2009-01-01,19.55,21.73,16.83,18.06,27000,16.06
2008-12-01,18.29,22.33,18.29,19.55,19400,17.37
2008-11-03,24.39,25.03,16.36,19.90,61700,17.67
2008-10-01,25.91,26.82,14.66,20.94,29700,18.59
2008-09-01,24.91,28.55,22.45,28.55,12400,25.34
2008-08-01,29.10,30.00,24.36,25.00,14800,22.18
2008-07-01,27.45,29.98,24.55,29.04,17000,25.76
2008-06-02,31.15,31.74,27.27,27.50,157600,24.38
2008-05-01,41.98,41.98,37.09,39.73,26100,35.21
2008-04-01,33.55,40.40,33.55,38.16,12000,33.82
2008-03-03,36.05,38.18,32.73,33.45,9700,29.64
2008-02-01,31.83,37.09,29.83,36.09,7800,31.97
2008-01-01,39.09,39.64,31.82,31.82,6600,27.90
2007-12-03,40.18,42.27,38.64,39.09,12000,34.27
2007-11-01,41.17,41.17,36.00,40.00,13800,35.07
2007-10-01,39.73,44.54,38.64,41.35,13700,36.22
2007-09-03,36.25,39.95,34.01,39.10,11100,34.25
2007-08-01,35.91,36.36,30.91,36.36,20200,31.85
2007-07-02,35.00,39.45,35.00,36.14,18200,31.65
2007-06-01,35.08,35.45,33.86,35.00,34900,30.66
2007-05-01,30.91,35.45,30.91,34.55,161600,30.26
2007-04-02,28.18,32.27,27.27,30.91,15100,27.07
2007-03-01,27.05,29.09,26.10,27.90,12900,24.44
2007-02-01,30.23,30.45,27.27,28.41,29000,24.88
2007-01-01,29.43,30.45,28.11,30.23,9800,26.47
2006-12-01,27.34,29.55,27.05,29.43,23500,25.77
2006-11-01,27.14,28.18,26.49,27.27,67500,23.88
2006-10-02,25.23,28.07,24.55,27.14,20900,23.76
2006-09-01,25.05,25.91,22.27,24.77,10400,21.69
2006-08-01,25.00,25.68,23.64,25.20,7400,22.07
2006-07-03,24.95,25.95,22.64,25.45,15400,22.29
2006-06-01,23.99,25.23,20.00,24.47,12900,21.43
2006-05-02,25.78,28.86,22.50,24.09,11900,21.09
2006-04-03,25.36,26.82,24.55,25.77,23300,22.57
2006-03-01,26.91,27.27,25.00,25.23,10300,22.09
2006-02-01,25.00,28.41,24.09,26.59,10800,23.28
2006-01-02,21.36,26.14,21.36,25.68,12100,22.49
2005-12-01,21.89,22.73,21.36,21.37,346000,18.71
2005-11-01,20.45,22.27,20.45,21.95,6900,19.22
2005-10-03,22.09,22.73,19.10,20.45,14200,17.91
2005-09-01,18.86,25.00,16.14,22.73,103000,1.99
2005-08-01,16.82,19.05,16.36,18.64,17000,1.63
2005-07-01,17.05,17.50,10.00,16.82,7100,1.47
2005-06-01,17.05,18.18,10.23,14.55,201400,1.27
2005-05-02,17.73,17.73,13.64,15.91,5800,1.39
2005-04-01,19.05,20.00,15.45,17.73,3200,1.55
2005-03-01,17.27,19.55,13.64,19.09,21700,1.67
2005-02-01,15.00,18.88,15.00,15.00,4000,1.31
2005-01-03,15.90,17.49,12.51,15.18,16900,1.33
2004-12-01,13.50,16.36,12.27,12.27,13200,1.07
2004-11-01,13.64,14.09,11.82,13.55,7100,1.19
2004-10-01,12500.50,13636.40,12.95,13.32,53600,1.17
2004-09-01,11636.80,12954.50,11590.90,12409.10,7900,1086.52
2004-08-02,11363.60,12500.00,11136.80,11590.90,8900,1014.88
2004-07-01,11636.40,11909.10,10682.70,11363.60,3400,994.98
2004-06-01,10727.30,12090.90,10454.50,11590.90,8800,1014.88
2004-05-03,10909.10,11590.90,8636.36,10727.30,10400,939.27
2004-04-01,11590.90,12272.70,8363.64,8909.09,3700,780.07
2004-03-01,11863.60,12227.30,11136.40,11363.60,42300,994.98
2004-02-02,11818.20,12272.70,9245.00,11818.20,19500,1034.79
2004-01-01,11477.30,12045.50,9245.00,9245.00,97400,809.48
2003-12-01,10113.60,11545.50,10000.00,11477.30,11900,1004.94
2003-11-03,9773.18,10272.30,9090.91,10113.60,470500,885.53
