Date,Open,High,Low,Close,Volume,Adj Close
2012-11-01,10.59,11.93,10.10,11.24,507400,11.24
2012-10-01,11.83,12.24,10.35,10.62,513600,10.62
2012-09-03,9.48,14.09,9.34,11.62,971000,11.62
2012-08-01,8.22,10.32,7.75,9.48,800000,9.48
2012-07-02,7.80,8.44,6.51,8.25,707200,8.25
2012-06-01,9.01,9.84,7.40,7.72,1820400,7.72
2012-05-01,18.20,18.74,9.17,9.17,2268600,9.17
2012-04-02,19.78,20.67,16.05,18.20,428100,18.20
2012-03-01,15.50,20.89,15.15,19.80,542000,19.80
2012-02-01,17.01,17.10,14.87,15.40,401200,15.40
2012-01-02,16.90,18.13,16.01,16.94,380200,16.94
2011-12-01,18.25,20.58,15.25,17.15,445100,17.15
2011-11-01,23.15,24.95,17.66,17.80,628500,17.80
2011-10-03,21.00,25.15,18.76,24.65,522200,24.65
2011-09-01,22.91,25.40,20.02,21.50,571000,21.50
2011-08-01,21.25,29.34,19.72,22.75,744300,22.75
2011-07-01,23.36,24.30,20.35,21.75,273800,21.75
2011-06-01,23.02,24.70,20.62,23.48,397700,23.48
2011-05-02,25.80,25.80,21.17,23.25,437100,23.25
2011-04-04,27.90,29.50,24.38,25.80,949500,25.80
2011-03-01,26.81,32.48,25.56,28.00,821100,28.00
2011-02-01,25.13,29.05,23.02,26.82,1133700,26.82
2011-01-03,21.90,24.99,21.24,24.99,726100,24.99
2010-12-01,22.53,23.55,20.62,21.35,387000,21.35
2010-11-01,24.70,27.15,21.74,21.74,477300,21.74
2010-10-01,25.99,26.95,22.13,24.80,621800,24.80
2010-09-01,23.52,26.07,22.58,25.77,770700,25.57
2010-08-02,26.00,26.70,22.58,23.07,782800,11.45
2010-07-01,23.94,27.99,23.40,25.50,926000,12.65
2010-06-01,21.90,25.80,20.20,23.70,1192200,11.76
2010-05-03,27.75,27.75,20.62,22.50,1203500,11.16
2010-04-01,31.73,33.10,27.00,27.31,689100,13.55
2010-03-01,25.65,31.55,25.30,31.17,835200,15.47
2010-02-01,25.00,25.75,22.88,25.60,574600,12.70
2010-01-01,25.05,26.25,23.15,24.82,567200,12.32
2009-12-01,25.15,26.00,23.06,24.65,718300,12.23
2009-11-02,21.84,25.14,21.05,24.70,1292300,12.26
2009-10-01,22.65,26.00,21.12,21.84,1394700,10.84
2009-09-01,22.39,23.50,21.08,22.66,1085600,11.24
2009-08-03,23.19,28.35,22.22,22.22,1351700,11.03
2009-07-01,20.95,23.05,17.58,23.05,1290100,11.44
2009-06-01,19.15,21.15,17.75,20.73,1436800,10.28
2009-05-01,15.15,18.86,14.75,18.86,1562400,9.36
2009-04-01,13.00,15.74,12.92,15.15,1188900,7.52
2009-03-02,12.10,13.77,10.44,13.25,1275500,6.57
2009-02-02,13.30,15.30,11.95,12.31,984400,6.11
2009-01-01,12.93,14.57,12.20,13.50,1390100,6.70
2008-12-01,10.41,13.82,9.98,12.93,830200,6.41
2008-11-03,12.85,13.32,8.77,10.70,1259400,5.31
2008-10-01,19.21,19.31,9.85,12.73,1786600,6.31
2008-09-01,28.19,28.19,17.32,19.17,1435800,9.51
2008-08-01,33.42,33.42,24.50,28.05,922300,13.92
2008-07-01,36.95,37.40,30.00,33.42,893100,16.12
2008-06-02,44.00,44.97,37.10,37.85,919400,18.26
2008-05-01,42.50,48.76,41.10,44.25,1110800,21.35
2008-04-01,51.61,60.25,38.99,42.50,779700,20.50
2008-03-03,50.75,55.28,49.29,51.40,756000,24.80
2008-02-01,42.97,55.25,42.97,50.75,698200,24.28
2008-01-01,41.50,42.77,36.01,42.75,800300,20.45
2007-12-03,49.92,49.92,38.20,41.50,882800,19.86
2007-11-01,72.49,73.50,45.76,48.50,680300,22.95
2007-10-01,72.50,77.10,69.00,72.95,406200,34.52
2007-09-03,65.96,72.50,61.05,71.75,461600,33.96
2007-08-01,66.65,68.47,51.00,66.00,529300,31.23
2007-07-02,63.75,69.75,62.56,67.44,356200,31.92
2007-06-01,63.52,65.10,60.60,63.75,442600,30.17
2007-05-01,56.50,65.48,56.50,63.24,637000,29.93
2007-04-02,59.49,63.75,54.00,56.50,524400,26.74
2007-03-01,54.49,60.45,49.75,59.95,90500,28.37
2007-02-01,48.45,59.50,48.45,54.95,133800,26.01
2007-01-01,48.00,48.70,44.50,48.25,113700,22.83
2006-12-01,46.60,49.50,45.46,48.00,153700,22.72
2006-11-01,42.50,48.24,42.25,46.58,73500,22.04
2006-10-02,38.00,42.83,36.76,41.92,52000,19.84
2006-09-01,38.74,40.49,34.25,37.00,37100,17.51
2006-08-01,42.99,43.00,37.50,39.00,53900,18.46
2006-07-03,42.95,45.00,40.50,43.19,53600,20.44
2006-06-01,45.50,47.50,40.50,42.50,49300,20.11
2006-05-02,45.25,51.75,41.00,45.50,70900,21.53
2006-04-03,42.35,47.00,39.75,45.00,102200,21.30
2006-03-01,35.00,42.25,34.00,41.94,78100,19.85
2006-02-01,35.24,37.50,31.25,35.00,118500,16.56
2006-01-02,25.08,36.10,23.50,35.24,143800,16.68
2005-12-01,23.50,27.00,23.25,25.65,60100,12.14
2005-11-01,21.75,23.50,20.00,23.23,80700,10.99
2005-10-03,23.55,23.55,19.25,21.40,66400,10.13
2005-09-01,22.25,24.75,21.58,23.45,51900,11.10
2005-08-01,20.25,23.75,20.25,23.45,28700,11.10
2005-07-01,19.25,21.38,17.25,20.40,52100,9.65
2005-06-01,22.65,23.00,18.50,19.35,81300,9.16
2005-05-02,23.00,25.95,19.50,22.50,70200,10.65
2005-04-01,25.95,25.95,21.20,23.50,49300,11.12
2005-03-01,31.50,31.50,24.50,25.65,28200,12.14
2005-02-01,24.50,32.00,24.50,31.30,45500,14.81
2005-01-03,25.00,25.00,18.00,24.50,46400,11.59
2004-12-01,25.00,26.00,23.52,25.00,53700,11.83
2004-11-01,18.50,24.25,18.20,24.00,66800,11.36
2004-10-01,18.50,20.10,17.00,18.50,26000,8.76
2004-09-01,19.50,19.50,18.00,18.50,13700,8.76
2004-08-02,16.00,19.50,15.86,19.50,60000,9.23
2004-07-01,13.00,16.20,13.00,16.05,29800,7.60
2004-06-01,11.85,13.00,11.20,13.00,20900,6.15
2004-05-03,10.01,12.65,10.00,12.20,43200,5.77
2004-04-01,13.25,14.75,11.76,12.45,15400,5.89
2004-03-01,12.35,14.49,11.50,13.99,54400,6.62
2004-02-02,11.98,13.50,10.00,12.35,5900,5.84
2004-01-01,12.25,13.95,11.25,12.00,10600,5.68
2003-12-01,9.50,13.00,9.50,12.25,2600,5.80
2003-11-03,9.25,10.95,8.25,10.26,2800,4.85
2003-10-01,7.35,9.35,6.65,8.75,43600,4.14
2003-09-01,6.99,7.25,6.10,7.25,4000,3.43
2003-08-01,6.00,7.00,5.35,6.99,18100,3.31
2003-07-01,4.80,6.50,4.25,6.25,46400,2.96
2003-06-02,4.25,5.00,4.01,4.85,4700,2.30
2003-05-01,4.40,4.75,3.85,4.30,8600,2.03
2003-04-01,3.58,5.00,3.35,4.40,1800,2.08
2003-03-03,3.15,3.55,3.08,3.55,2600,1.68
2003-02-03,3.15,3.35,2.90,3.15,700,1.49
2003-01-01,3.17,3.75,2.00,3.15,800,1.49
2002-12-02,2.51,3.25,2.50,3.17,900,1.50
2002-11-01,2.36,3.50,2.17,2.90,300,1.37
2002-10-01,2.50,3.00,1.50,2.40,800,1.14
2002-09-02,3.16,3.60,2.05,2.05,000,0.97
2002-08-01,2.53,3.60,2.25,2.88,1000,1.36
2002-07-01,2.75,3.75,2.50,2.50,600,1.18
2002-06-03,3.00,3.69,2.35,3.00,63200,1.42
2002-05-01,3.25,3.80,3.00,3.35,300,1.59
2002-04-01,3.10,3.90,3.00,3.25,000,1.54
2002-03-01,3.58,4.00,2.50,3.00,4100,1.42
2002-02-01,2.60,3.65,2.50,3.35,130300,1.59
2002-01-01,2.41,3.45,2.41,2.95,900,1.40
2001-12-03,2.50,4.25,2.30,2.41,3000,1.14
2001-11-01,1.50,2.70,1.50,2.50,5500,1.18
2001-10-01,1.90,2.50,1.50,1.50,500,0.71
2001-09-03,2.51,2.85,1.20,1.85,3800,0.88
2001-08-01,2.65,3.60,2.50,2.63,000,1.24
2001-07-02,2.75,3.35,2.50,2.76,6400,1.30
2001-06-01,2.93,3.85,2.51,2.75,300,1.30
2001-05-01,3.50,3.85,2.50,3.24,900,1.54
2001-04-02,3.30,3.85,2.76,3.50,7600,1.66
2001-03-01,3.69,3.90,3.25,3.33,1700,1.57
2001-02-01,3.76,3.76,3.25,3.70,34400,1.75
2001-01-02,2.85,4.00,2.85,3.90,9300,1.85
2000-12-01,2.76,3.20,2.76,2.85,32100,1.35
2000-11-01,3.00,3.05,2.60,2.90,3500,1.37
2000-10-02,2.95,3.25,2.55,3.00,1000,1.42
2000-09-01,3.06,3.35,2.86,3.00,13700,1.42
2000-08-01,2.75,3.29,2.75,3.05,147200,1.44
2000-07-03,2.60,3.00,2.58,2.85,24700,1.35
2000-06-01,2.55,2.80,2.25,2.55,4100,1.21
2000-05-01,2.49,3.25,2.25,2.25,29000,1.06
2000-04-03,2.00,3.49,2.00,2.49,2100,1.18
2000-03-01,2.90,3.99,2.00,2.00,000,0.95
2000-02-01,2.90,4.00,2.90,2.90,000,1.37
2000-01-04,2.00,4.49,2.00,2.90,1600,1.37
